"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,6,0,0,1,1,1,0,0,1,1,6,9,1,1,16,6,2,15,19,2,1,4,1,7,3,3,3,19,10,2,13,2,4,2,1,1,3,4,11,21,24,5,8,22,1,2,15,2,1,8,1,1,1,12,12,2,1,3,12,1,34,1,1,2,4,6,21,13,2,4,19,1,5,27,1,1,1,1,2,1,12,1,4,6,3,6,11,1,1,2,7,1,3,2,15,2,8,1,1,6,3,3,1,1,1,2,15,4,1
7,6,0,0,1,1,0,0,0,1,12,6,7,1,23,5,2,3,1,5,11,1,19,3,7,4,11,1,2,2,1,3,2,1,1,12,1,1,1,1,1,17,3,5,2,1,33,2,5,6,21,1,14,3,1,9,25,3,3,3,31,1,1,2,3,7,1,9,2,7,3,1,3,7,1,2,5,2,7,9,2,1,11,19,6,1,8,5,2,1,3,5,1,5,20,5,9,2,2,13,12,1,1,1,2,3,2,1,15,7
14,6,0,0,1,1,0,0,0,1,5,2,4,9,3,35,1,1,12,1,1,5,1,8,1,1,2,1,31,1,1,1,3,2,6,27,1,16,2,8,1,7,1,8,1,11,1,2,3,8,1,1,1,2,1,1,19,1,1,1,1,3,11,1,1,8,1,8,2,6,19,9,9,3,6,3,1,2,1,19,19,2,2,18,1,1,1,18,6,3,2,1,2,16,1,9,5,12,1,2,4,2,1,4,3,21,1,1,1,17
20,3,0,0,1,1,0,0,0,1,1,1,7,2,1,2,1,7,7,9,1,6,6,2,1,20,1,4,2,19,7,7,2,19,4,6,15,1,5,1,2,3,3,14,3,1,5,3,7,7,27,1,2,2,1,3,17,1,2,1,4,2,8,4,17,1,2,2,17,12,2,1,3,1,1,13,2,1,1,1,2,2,1,6,24,3,1,1,1,1,6,1,2,6,6,11,12,3,7,7,2,3,8,1,1,2,3,10,1,1
32,4,0,0,1,1,1,0,0,1,2,1,8,7,3,7,1,3,12,3,11,8,3,3,3,14,2,18,2,5,5,10,2,1,7,2,8,2,1,3,13,3,5,6,1,8,1,2,5,8,2,1,2,2,3,4,3,14,1,2,5,4,3,10,8,7,15,12,8,9,34,1,1,5,10,8,6,1,1,26,14,10,7,1,3,4,1,8,10,1,1,23,1,3,12,2,19,10,1,5,1,9,1,16,1,4,1,13,3,3
48,6,0,0,1,1,1,0,0,1,1,1,20,9,2,2,2,20,1,1,2,1,1,1,5,1,15,1,1,4,1,10,3,3,1,7,1,1,7,1,1,1,2,1,4,3,14,10,1,6,5,2,5,15,6,8,1,3,7,1,2,1,2,1,5,3,11,6,1,1,1,1,2,4,2,1,1,4,7,2,7,1,1,1,5,6,8,6,4,11,5,1,2,1,10,1,3,3,25,1,2,2,1,2,12,5,6,4,8,27
50,6,0,0,1,1,0,0,0,1,3,2,7,13,2,2,1,2,22,4,1,2,1,7,9,1,2,1,2,8,13,13,20,5,6,1,1,10,1,12,2,5,5,8,8,4,1,1,18,2,2,6,3,10,1,2,8,19,5,5,3,2,4,2,11,4,5,12,11,4,7,3,5,3,35,6,2,1,1,13,4,16,2,11,4,20,1,3,1,1,1,1,1,1,1,6,1,1,5,11,9,2,5,1,1,5,6,1,3,1
53,4,0,0,1,1,0,0,0,1,9,16,9,4,16,7,12,6,19,7,1,3,1,11,5,1,16,1,4,9,2,7,1,8,7,3,7,2,28,7,3,3,1,1,1,9,4,10,18,2,27,5,8,2,28,4,28,2,1,1,2,1,1,1,9,3,1,6,5,3,1,1,9,8,2,4,4,12,1,2,19,1,1,1,3,4,5,6,2,1,12,1,7,4,1,3,3,8,1,12,14,2,1,1,1,1,11,4,17,4
54,3,0,0,1,1,1,0,0,1,6,5,3,2,12,15,1,2,1,2,1,4,5,3,2,1,10,1,1,2,2,4,8,1,2,2,1,2,2,4,3,1,1,4,24,3,3,1,2,5,9,5,1,16,1,16,14,2,1,1,8,2,6,1,6,12,7,4,18,2,1,3,1,1,1,8,3,1,2,9,6,6,7,4,21,5,10,1,2,2,3,2,1,1,4,8,2,1,6,1,1,1,1,4,9,3,1,1,1,4
55,6,0,0,1,1,1,0,0,1,1,19,1,3,1,4,3,1,16,1,1,2,12,1,1,9,11,11,1,1,3,8,8,2,2,2,2,3,1,24,3,7,7,1,3,1,9,9,1,11,1,7,1,8,8,31,6,8,1,9,2,7,1,1,15,3,4,16,17,7,23,3,1,3,5,23,1,13,1,13,14,1,1,5,1,5,26,6,1,1,11,1,2,24,1,14,15,4,1,4,2,1,10,3,16,2,1,6,1,1
58,6,0,0,1,1,1,0,0,1,1,4,13,11,1,2,6,1,17,2,4,1,2,12,1,15,1,8,1,2,7,32,3,4,11,2,22,1,13,17,6,22,3,1,20,6,13,26,1,1,2,1,1,9,3,1,1,8,1,4,5,4,8,4,2,4,1,1,26,8,3,13,3,1,14,3,20,9,11,1,1,1,2,19,4,16,1,1,1,8,17,13,2,2,4,1,6,2,1,2,2,2,1,10,6,13,3,6,2,1
72,6,0,0,1,1,1,0,0,1,17,18,1,1,30,1,14,17,4,3,7,1,1,3,5,4,1,17,1,2,4,1,22,1,4,1,25,1,1,21,1,5,5,2,20,1,17,3,16,2,1,13,3,3,2,1,1,3,2,1,4,1,7,15,8,1,22,9,12,1,1,28,2,2,1,14,2,1,14,1,15,1,3,1,4,29,1,1,1,6,6,2,9,2,6,2,13,1,14,11,2,3,12,5,29,1,3,7,1,4
74,2,0,0,1,1,1,0,0,1,23,3,3,1,2,16,29,1,8,5,1,4,1,1,1,15,1,1,1,2,16,1,1,2,1,1,3,10,7,1,1,7,9,1,1,1,2,7,3,4,1,20,3,1,5,1,11,23,2,2,1,6,16,22,3,1,1,4,15,1,1,1,4,11,1,1,1,1,2,2,1,2,2,7,20,1,1,4,24,24,1,4,10,1,7,21,2,11,14,7,1,2,14,19,2,1,5,9,1,2
